Source_tissue,Target_tissue,cytokine_description,cytokine_ensemlb,cytokine_genename,cytokine_uniprot,Receptor_description,Receptor_ensembl,Receptor_genename,Receptor_uniprot,reference,action_sentiment,num_papers,enrichment_score,chains
eosinophil,thyroid gland,TNF superfamily member 13,ENSG00000161955,TNFSF13,O75888,Syndecan 2,ENSG00000169439,SDC2,P34741,"509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).",NA,NA,NA,eosinophil-->TNFSF13-->SDC2-->thyroid gland
eosinophil,urinary bladder,C-C motif chemokine ligand 4 like 2,ENSG00000276070,CCL4L2,Q8NHW4,C-C motif chemokine receptor 8,ENSG00000179934,CCR8,P51685,NA,NA,NA,NA,eosinophil-->CCL4L2-->CCR8-->urinary bladder
esophagus,bone marrow,Interleukin 18,ENSG00000150782,IL18,Q14116,Interleukin 18 receptor accessory protein,ENSG00000115607,IL18RAP,O95256,NA,NA,NA,NA,esophagus-->IL18-->IL18RAP-->bone marrow
esophagus,brain,Interleukin 18,ENSG00000150782,IL18,Q14116,Interleukin 1 receptor accessory protein like 1,ENSG00000169306,IL1RAPL1,Q9NZN1,NA,NA,NA,NA,esophagus-->IL18-->IL1RAPL1-->brain
esophagus,classical monocyte,Interleukin 17F,ENSG00000112116,IL17F,Q96PD4,Interleukin 17 receptor C,ENSG00000163702,IL17RC,Q8NAC3,NA,NA,NA,NA,esophagus-->IL17F-->IL17RC-->classical monocyte
esophagus,lung,Interleukin 18,ENSG00000150782,IL18,Q14116,Interleukin 18 receptor 1,ENSG00000115604,IL18R1,Q13478,NA,NA,NA,NA,esophagus-->IL18-->IL18R1-->lung
esophagus,memory CD4 T-cell,Interleukin 19,ENSG00000142224,IL19,Q9UHD0,Interleukin 20 receptor subunit alpha,ENSG00000016402,IL20RA,Q9UHF4,NA,NA,NA,NA,esophagus-->IL19-->IL20RA-->memory CD4 T-cell
esophagus,myeloid DC,Interleukin 17F,ENSG00000112116,IL17F,Q96PD4,Interleukin 17 receptor C,ENSG00000163702,IL17RC,Q8NAC3,NA,NA,NA,NA,esophagus-->IL17F-->IL17RC-->myeloid DC
esophagus,neutrophil,Interleukin 1 alpha,ENSG00000115008,IL1A,P01583,Interleukin 1 receptor type 2,ENSG00000115590,IL1R2,P27930,NA,NA,NA,NA,esophagus-->IL1A-->IL1R2-->neutrophil
esophagus,neutrophil,Interleukin 1 alpha,ENSG00000115008,IL1A,P01583,Interleukin 1 receptor type 1,ENSG00000115594,IL1R1,P14778,NA,NA,NA,NA,esophagus-->IL1A-->IL1R1-->neutrophil
esophagus,neutrophil,Interleukin 1 receptor antagonist,ENSG00000136689,IL1RN,P18510,Interleukin 1 receptor type 1,ENSG00000115594,IL1R1,P14778,NA,NA,NA,NA,esophagus-->IL1RN-->IL1R1-->neutrophil
esophagus,NK-cell,Interleukin 18,ENSG00000150782,IL18,Q14116,Interleukin 18 receptor 1,ENSG00000115604,IL18R1,Q13478,NA,NA,NA,NA,esophagus-->IL18-->IL18R1-->NK-cell
esophagus,NK-cell,Interleukin 18,ENSG00000150782,IL18,Q14116,Interleukin 18 receptor accessory protein,ENSG00000115607,IL18RAP,O95256,NA,NA,NA,NA,esophagus-->IL18-->IL18RAP-->NK-cell
esophagus,NK-cell,Interleukin 12A,ENSG00000168811,IL12A,P29459,Interleukin 12 receptor subunit beta 2,ENSG00000081985,IL12RB2,Q99665,NA,NA,NA,NA,esophagus-->IL12A-->IL12RB2-->NK-cell
esophagus,pancreas,Interleukin 12A,ENSG00000168811,IL12A,P29459,Interleukin 12 receptor subunit beta 2,ENSG00000081985,IL12RB2,Q99665,NA,NA,NA,NA,esophagus-->IL12A-->IL12RB2-->pancreas
esophagus,skin 1,Interleukin 19,ENSG00000142224,IL19,Q9UHD0,Interleukin 20 receptor subunit alpha,ENSG00000016402,IL20RA,Q9UHF4,NA,NA,NA,NA,esophagus-->IL19-->IL20RA-->skin 1
esophagus,skin 1,Interleukin 19,ENSG00000142224,IL19,Q9UHD0,Interleukin 20 receptor subunit beta,ENSG00000174564,IL20RB,Q6UXL0,NA,NA,NA,NA,esophagus-->IL19-->IL20RB-->skin 1
esophagus,skin 1,Interleukin 18,ENSG00000150782,IL18,Q14116,Interleukin 1 receptor like 2,ENSG00000115598,IL1RL2,Q9HB29,NA,NA,NA,NA,esophagus-->IL18-->IL1RL2-->skin 1
esophagus,T-reg,Interleukin 12A,ENSG00000168811,IL12A,P29459,CD28 molecule,ENSG00000178562,CD28,P10747,NA,NA,NA,NA,esophagus-->IL12A-->CD28-->T-reg
gallbladder,adipose tissue,C-C motif chemokine ligand 20,ENSG00000115009,CCL20,P78556,C-C motif chemokine receptor like 2,ENSG00000121797,CCRL2,O00421,NA,NA,NA,NA,gallbladder-->CCL20-->CCRL2-->adipose tissue
gallbladder,basophil,Secreted phosphoprotein 1,ENSG00000118785,SPP1,P10451,Integrin subunit alpha V,ENSG00000138448,ITGAV,P06756,NA,NA,NA,NA,gallbladder-->SPP1-->ITGAV-->basophil
gallbladder,basophil,Secreted phosphoprotein 1,ENSG00000118785,SPP1,P10451,Integrin subunit alpha 9,ENSG00000144668,ITGA9,Q13797,NA,NA,NA,NA,gallbladder-->SPP1-->ITGA9-->basophil
gallbladder,basophil,Secreted phosphoprotein 1,ENSG00000118785,SPP1,P10451,Integrin subunit beta 3,ENSG00000259207,ITGB3,P05106,NA,NA,NA,NA,gallbladder-->SPP1-->ITGB3-->basophil
gallbladder,gdT-cell,Secreted phosphoprotein 1,ENSG00000118785,SPP1,P10451,Integrin subunit beta 5,ENSG00000082781,ITGB5,P18084,NA,NA,NA,NA,gallbladder-->SPP1-->ITGB5-->gdT-cell
gallbladder,intestine,C-C motif chemokine ligand 20,ENSG00000115009,CCL20,P78556,C-C motif chemokine receptor 6,ENSG00000112486,CCR6,P51684,NA,NA,NA,NA,gallbladder-->CCL20-->CCR6-->intestine
gallbladder,MAIT T-cell,C-C motif chemokine ligand 20,ENSG00000115009,CCL20,P78556,C-C motif chemokine receptor 6,ENSG00000112486,CCR6,P51684,NA,NA,NA,NA,gallbladder-->CCL20-->CCR6-->MAIT T-cell
gallbladder,memory B-cell,C-C motif chemokine ligand 20,ENSG00000115009,CCL20,P78556,C-C motif chemokine receptor 6,ENSG00000112486,CCR6,P51684,NA,NA,NA,NA,gallbladder-->CCL20-->CCR6-->memory B-cell
gallbladder,memory CD4 T-cell,C-C motif chemokine ligand 20,ENSG00000115009,CCL20,P78556,C-C motif chemokine receptor 6,ENSG00000112486,CCR6,P51684,NA,NA,NA,NA,gallbladder-->CCL20-->CCR6-->memory CD4 T-cell
gallbladder,naive B-cell,C-C motif chemokine ligand 20,ENSG00000115009,CCL20,P78556,C-C motif chemokine receptor 6,ENSG00000112486,CCR6,P51684,NA,NA,NA,NA,gallbladder-->CCL20-->CCR6-->naive B-cell
gallbladder,naive CD4 T-cell,"LIF, interleukin 6 family cytokine",ENSG00000128342,LIF,P15018,Interleukin 6 signal transducer,ENSG00000134352,IL6ST,P40189,NA,NA,NA,NA,gallbladder-->LIF-->IL6ST-->naive CD4 T-cell
gallbladder,neutrophil,Secreted phosphoprotein 1,ENSG00000118785,SPP1,P10451,Integrin subunit alpha 5,ENSG00000161638,ITGA5,P08648,NA,NA,NA,NA,gallbladder-->SPP1-->ITGA5-->neutrophil
gallbladder,neutrophil,Secreted phosphoprotein 1,ENSG00000118785,SPP1,P10451,Integrin subunit beta 3,ENSG00000259207,ITGB3,P05106,NA,NA,NA,NA,gallbladder-->SPP1-->ITGB3-->neutrophil
gallbladder,plasmacytoid DC,C-C motif chemokine ligand 20,ENSG00000115009,CCL20,P78556,C-X-C motif chemokine receptor 3,ENSG00000186810,CXCR3,P49682,NA,NA,NA,NA,gallbladder-->CCL20-->CXCR3-->plasmacytoid DC
gallbladder,T-reg,C-C motif chemokine ligand 20,ENSG00000115009,CCL20,P78556,C-C motif chemokine receptor 6,ENSG00000112486,CCR6,P51684,NA,NA,NA,NA,gallbladder-->CCL20-->CCR6-->T-reg
gallbladder,thyroid gland,Secreted phosphoprotein 1,ENSG00000118785,SPP1,P10451,Integrin subunit beta 3,ENSG00000259207,ITGB3,P05106,NA,NA,NA,NA,gallbladder-->SPP1-->ITGB3-->thyroid gland
gdT-cell,adipose tissue,C-C motif chemokine ligand 5,ENSG00000271503,CCL5,P13501,Atypical chemokine receptor 1 (Duffy blood group),ENSG00000213088,ACKR1,Q16570,NA,NA,NA,NA,gdT-cell-->CCL5-->ACKR1-->adipose tissue
gdT-cell,basophil,C-C motif chemokine ligand 5,ENSG00000271503,CCL5,P13501,Atypical chemokine receptor 4,ENSG00000129048,ACKR4,Q9NPB9,NA,NA,NA,NA,gdT-cell-->CCL5-->ACKR4-->basophil
gdT-cell,basophil,C-C motif chemokine ligand 5,ENSG00000271503,CCL5,P13501,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,gdT-cell-->CCL5-->CCR3-->basophil
gdT-cell,basophil,C-C motif chemokine ligand 4,ENSG00000275302,CCL4,P13236,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,gdT-cell-->CCL4-->CCR3-->basophil
gdT-cell,basophil,C-C motif chemokine ligand 3,ENSG00000277632,CCL3,P10147,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,gdT-cell-->CCL3-->CCR3-->basophil
gdT-cell,brain,Fms related tyrosine kinase 3 ligand,ENSG00000090554,FLT3LG,P49771,Fms related tyrosine kinase 3,ENSG00000122025,FLT3,P36888,NA,NA,NA,NA,gdT-cell-->FLT3LG-->FLT3-->brain
gdT-cell,brain,C-C motif chemokine ligand 5,ENSG00000271503,CCL5,P13501,G protein-coupled receptor 75,ENSG00000119737,GPR75,O95800,NA,NA,NA,NA,gdT-cell-->CCL5-->GPR75-->brain
gdT-cell,eosinophil,C-C motif chemokine ligand 5,ENSG00000271503,CCL5,P13501,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,gdT-cell-->CCL5-->ACKR2-->eosinophil
gdT-cell,eosinophil,C-C motif chemokine ligand 5,ENSG00000271503,CCL5,P13501,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,gdT-cell-->CCL5-->CCR3-->eosinophil
gdT-cell,eosinophil,C-C motif chemokine ligand 4,ENSG00000275302,CCL4,P13236,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,gdT-cell-->CCL4-->ACKR2-->eosinophil
gdT-cell,eosinophil,C-C motif chemokine ligand 4,ENSG00000275302,CCL4,P13236,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,gdT-cell-->CCL4-->CCR3-->eosinophil
gdT-cell,eosinophil,C-C motif chemokine ligand 3,ENSG00000277632,CCL3,P10147,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,gdT-cell-->CCL3-->ACKR2-->eosinophil
gdT-cell,eosinophil,C-C motif chemokine ligand 3,ENSG00000277632,CCL3,P10147,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,gdT-cell-->CCL3-->CCR3-->eosinophil
gdT-cell,intestine,C-C motif chemokine ligand 5,ENSG00000271503,CCL5,P13501,Atypical chemokine receptor 4,ENSG00000129048,ACKR4,Q9NPB9,NA,NA,NA,NA,gdT-cell-->CCL5-->ACKR4-->intestine
gdT-cell,MAIT T-cell,C-C motif chemokine ligand 5,ENSG00000271503,CCL5,P13501,C-C motif chemokine receptor 5 (gene/pseudogene),ENSG00000160791,CCR5,P51681,NA,NA,NA,NA,gdT-cell-->CCL5-->CCR5-->MAIT T-cell
gdT-cell,MAIT T-cell,C-C motif chemokine ligand 4,ENSG00000275302,CCL4,P13236,C-C motif chemokine receptor 5 (gene/pseudogene),ENSG00000160791,CCR5,P51681,NA,NA,NA,NA,gdT-cell-->CCL4-->CCR5-->MAIT T-cell
gdT-cell,MAIT T-cell,C-C motif chemokine ligand 3,ENSG00000277632,CCL3,P10147,C-C motif chemokine receptor 5 (gene/pseudogene),ENSG00000160791,CCR5,P51681,NA,NA,NA,NA,gdT-cell-->CCL3-->CCR5-->MAIT T-cell
gdT-cell,memory B-cell,CD40 ligand,ENSG00000102245,CD40LG,P29965,CD40 molecule,ENSG00000101017,CD40,P25942,NA,NA,NA,NA,gdT-cell-->CD40LG-->CD40-->memory B-cell
gdT-cell,memory B-cell,C-C motif chemokine ligand 3,ENSG00000277632,CCL3,P10147,C-X-C motif chemokine receptor 5,ENSG00000160683,CXCR5,P32302,NA,NA,NA,NA,gdT-cell-->CCL3-->CXCR5-->memory B-cell
gdT-cell,myeloid DC,Fms related tyrosine kinase 3 ligand,ENSG00000090554,FLT3LG,P49771,Fms related tyrosine kinase 3,ENSG00000122025,FLT3,P36888,NA,NA,NA,NA,gdT-cell-->FLT3LG-->FLT3-->myeloid DC
gdT-cell,naive B-cell,CD40 ligand,ENSG00000102245,CD40LG,P29965,CD40 molecule,ENSG00000101017,CD40,P25942,NA,NA,NA,NA,gdT-cell-->CD40LG-->CD40-->naive B-cell
gdT-cell,naive B-cell,C-C motif chemokine ligand 3,ENSG00000277632,CCL3,P10147,C-X-C motif chemokine receptor 5,ENSG00000160683,CXCR5,P32302,NA,NA,NA,NA,gdT-cell-->CCL3-->CXCR5-->naive B-cell
gdT-cell,neutrophil,Interferon gamma,ENSG00000111537,IFNG,P01579,Interferon gamma receptor 2,ENSG00000159128,IFNGR2,P38484,NA,Positive,14,10.92,gdT-cell-->IFNG-->IFNGR2-->neutrophil
gdT-cell,neutrophil,Fas ligand,ENSG00000117560,FASLG,P48023,Fas cell surface death receptor,ENSG00000026103,FAS,P25445,NA,NA,NA,NA,gdT-cell-->FASLG-->FAS-->neutrophil
gdT-cell,NK-cell,C-C motif chemokine ligand 5,ENSG00000271503,CCL5,P13501,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,gdT-cell-->CCL5-->ACKR2-->NK-cell
gdT-cell,NK-cell,C-C motif chemokine ligand 4,ENSG00000275302,CCL4,P13236,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,gdT-cell-->CCL4-->ACKR2-->NK-cell
gdT-cell,NK-cell,C-C motif chemokine ligand 3,ENSG00000277632,CCL3,P10147,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,gdT-cell-->CCL3-->ACKR2-->NK-cell
gdT-cell,placenta,C-C motif chemokine ligand 5,ENSG00000271503,CCL5,P13501,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,gdT-cell-->CCL5-->ACKR2-->placenta
gdT-cell,placenta,C-C motif chemokine ligand 4,ENSG00000275302,CCL4,P13236,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,gdT-cell-->CCL4-->ACKR2-->placenta
gdT-cell,placenta,C-C motif chemokine ligand 3,ENSG00000277632,CCL3,P10147,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,gdT-cell-->CCL3-->ACKR2-->placenta
gdT-cell,plasmacytoid DC,Fms related tyrosine kinase 3 ligand,ENSG00000090554,FLT3LG,P49771,Fms related tyrosine kinase 3,ENSG00000122025,FLT3,P36888,NA,NA,NA,NA,gdT-cell-->FLT3LG-->FLT3-->plasmacytoid DC
gdT-cell,plasmacytoid DC,Interferon lambda 1,ENSG00000182393,IFNL1,Q8IU54,Interferon lambda receptor 1,ENSG00000185436,IFNLR1,Q8IU57,NA,NA,NA,NA,gdT-cell-->IFNL1-->IFNLR1-->plasmacytoid DC
gdT-cell,plasmacytoid DC,C-C motif chemokine ligand 5,ENSG00000271503,CCL5,P13501,C-X-C motif chemokine receptor 3,ENSG00000186810,CXCR3,P49682,NA,NA,NA,NA,gdT-cell-->CCL5-->CXCR3-->plasmacytoid DC
gdT-cell,salivary gland,C-C motif chemokine ligand 5,ENSG00000271503,CCL5,P13501,Atypical chemokine receptor 4,ENSG00000129048,ACKR4,Q9NPB9,NA,NA,NA,NA,gdT-cell-->CCL5-->ACKR4-->salivary gland
gdT-cell,salivary gland,C-C motif chemokine ligand 5,ENSG00000271503,CCL5,P13501,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,gdT-cell-->CCL5-->ACKR2-->salivary gland
gdT-cell,salivary gland,C-C motif chemokine ligand 4,ENSG00000275302,CCL4,P13236,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,gdT-cell-->CCL4-->ACKR2-->salivary gland
gdT-cell,salivary gland,C-C motif chemokine ligand 3,ENSG00000277632,CCL3,P10147,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,gdT-cell-->CCL3-->ACKR2-->salivary gland
gdT-cell,T-reg,C-C motif chemokine ligand 5,ENSG00000271503,CCL5,P13501,C-C motif chemokine receptor 4,ENSG00000183813,CCR4,P51679,NA,NA,NA,NA,gdT-cell-->CCL5-->CCR4-->T-reg
gdT-cell,T-reg,C-C motif chemokine ligand 4,ENSG00000275302,CCL4,P13236,C-C motif chemokine receptor 8,ENSG00000179934,CCR8,P51685,NA,NA,NA,NA,gdT-cell-->CCL4-->CCR8-->T-reg
gdT-cell,T-reg,C-C motif chemokine ligand 3,ENSG00000277632,CCL3,P10147,C-C motif chemokine receptor 4,ENSG00000183813,CCR4,P51679,NA,NA,NA,NA,gdT-cell-->CCL3-->CCR4-->T-reg
gdT-cell,urinary bladder,C-C motif chemokine ligand 4,ENSG00000275302,CCL4,P13236,C-C motif chemokine receptor 8,ENSG00000179934,CCR8,P51685,NA,NA,NA,NA,gdT-cell-->CCL4-->CCR8-->urinary bladder
heart muscle,adipose tissue,Platelet factor 4,ENSG00000163737,PF4,P02776,Atypical chemokine receptor 1 (Duffy blood group),ENSG00000213088,ACKR1,Q16570,NA,NA,NA,NA,heart muscle-->PF4-->ACKR1-->adipose tissue
heart muscle,adipose tissue,C-C motif chemokine ligand 11,ENSG00000172156,CCL11,P51671,Atypical chemokine receptor 1 (Duffy blood group),ENSG00000213088,ACKR1,Q16570,NA,NA,NA,NA,heart muscle-->CCL11-->ACKR1-->adipose tissue
heart muscle,basophil,Platelet factor 4,ENSG00000163737,PF4,P02776,Low density lipoprotein receptor,ENSG00000130164,LDLR,P01130,NA,NA,NA,NA,heart muscle-->PF4-->LDLR-->basophil
heart muscle,basophil,C-C motif chemokine ligand 11,ENSG00000172156,CCL11,P51671,C-C motif chemokine receptor 2,ENSG00000121807,CCR2,P41597,NA,NA,NA,NA,heart muscle-->CCL11-->CCR2-->basophil
heart muscle,basophil,C-C motif chemokine ligand 11,ENSG00000172156,CCL11,P51671,Atypical chemokine receptor 4,ENSG00000129048,ACKR4,Q9NPB9,NA,NA,NA,NA,heart muscle-->CCL11-->ACKR4-->basophil
heart muscle,basophil,C-C motif chemokine ligand 11,ENSG00000172156,CCL11,P51671,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,heart muscle-->CCL11-->CCR3-->basophil
heart muscle,basophil,C-C motif chemokine ligand 18,ENSG00000275385,CCL18,P55774,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,heart muscle-->CCL18-->CCR3-->basophil
